Instance,N,M,Total,Algorithm,EF1,EFX,EF,PROP1
spliddit\4_4_60663.instance,4,4,3,remove the best agent,2,2,2,3
spliddit\4_4_67190.instance,4,4,3,existence,3,3,0,3
spliddit\4_4_67190.instance,4,4,3,remove all the agents,2,2,0,3
spliddit\4_4_67190.instance,4,4,3,remove the best agent,2,2,0,3
spliddit\4_4_6942.instance,4,4,3,existence,3,3,0,3
spliddit\4_4_6942.instance,4,4,3,remove all the agents,1,1,0,3
spliddit\4_4_6942.instance,4,4,3,remove the best agent,3,3,0,3
spliddit\4_4_76841.instance,4,4,3,existence,3,1,0,3
spliddit\4_4_76841.instance,4,4,3,remove all the agents,1,0,0,3
spliddit\4_4_76841.instance,4,4,3,remove the best agent,3,1,0,3
spliddit\4_4_77657.instance,4,4,3,existence,3,3,3,3
spliddit\4_4_77657.instance,4,4,3,remove all the agents,3,3,3,3
spliddit\4_4_77657.instance,4,4,3,remove the best agent,3,3,3,3
spliddit\4_4_86294.instance,4,4,3,existence,3,1,1,3
spliddit\4_4_86294.instance,4,4,3,remove all the agents,2,1,1,3
spliddit\4_4_86294.instance,4,4,3,remove the best agent,3,1,1,3
spliddit\4_4_86313.instance,4,4,3,existence,3,1,1,3
spliddit\4_4_86313.instance,4,4,3,remove all the agents,2,1,1,3
spliddit\4_4_86313.instance,4,4,3,remove the best agent,3,1,1,3
spliddit\4_4_8672.instance,4,4,3,existence,3,3,0,3
spliddit\4_4_8672.instance,4,4,3,remove all the agents,2,1,0,3
spliddit\4_4_8672.instance,4,4,3,remove the best agent,3,1,0,3
spliddit\4_4_88300.instance,4,4,3,existence,3,3,2,3
spliddit\4_4_88300.instance,4,4,3,remove all the agents,2,2,1,3
spliddit\4_4_88300.instance,4,4,3,remove the best agent,3,3,2,3
spliddit\4_4_91003.instance,4,4,3,existence,3,3,3,3
spliddit\4_4_91003.instance,4,4,3,remove all the agents,3,3,2,3
spliddit\4_4_91003.instance,4,4,3,remove the best agent,3,3,2,3
spliddit\4_4_91004.instance,4,4,3,existence,3,3,3,3
spliddit\4_4_91004.instance,4,4,3,remove all the agents,3,2,1,3
spliddit\4_4_91004.instance,4,4,3,remove the best agent,3,2,1,3
spliddit\4_4_94786.instance,4,4,3,existence,3,1,1,3
spliddit\4_4_94786.instance,4,4,3,remove all the agents,3,1,1,3
spliddit\4_4_94786.instance,4,4,3,remove the best agent,3,1,1,3
spliddit\4_4_94796.instance,4,4,3,existence,3,3,3,3
spliddit\4_4_94796.instance,4,4,3,remove all the agents,3,3,3,3
spliddit\4_4_94796.instance,4,4,3,remove the best agent,3,3,3,3
spliddit\4_4_94882.instance,4,4,3,existence,3,3,1,3
spliddit\4_4_94882.instance,4,4,3,remove all the agents,3,2,1,3
spliddit\4_4_94882.instance,4,4,3,remove the best agent,3,2,1,3
spliddit\4_4_9620.instance,4,4,3,existence,3,3,1,3
spliddit\4_4_9620.instance,4,4,3,remove all the agents,2,2,1,3
spliddit\4_4_9620.instance,4,4,3,remove the best agent,3,3,1,3
spliddit\4_4_98105.instance,4,4,3,existence,3,3,1,3
spliddit\4_4_98105.instance,4,4,3,remove all the agents,1,1,0,3
spliddit\4_4_98105.instance,4,4,3,remove the best agent,3,2,1,3
spliddit\4_5_101824.instance,4,5,3,existence,3,3,1,3
spliddit\4_5_101824.instance,4,5,3,remove all the agents,3,1,1,3
spliddit\4_5_101824.instance,4,5,3,remove the best agent,3,2,1,3
spliddit\4_5_102346.instance,4,5,3,existence,3,3,2,3
spliddit\4_5_102346.instance,4,5,3,remove all the agents,3,3,2,3
spliddit\4_5_102346.instance,4,5,3,remove the best agent,3,3,2,3
spliddit\4_5_17678.instance,4,5,3,existence,3,3,1,3
spliddit\4_5_17678.instance,4,5,3,remove all the agents,2,2,1,3
spliddit\4_5_17678.instance,4,5,3,remove the best agent,3,2,1,3
spliddit\4_5_3715.instance,4,5,3,existence,3,3,3,3
spliddit\4_5_3715.instance,4,5,3,remove all the agents,3,3,3,3
spliddit\4_5_3715.instance,4,5,3,remove the best agent,3,3,3,3
spliddit\4_5_45421.instance,4,5,3,existence,3,3,1,3
spliddit\4_5_45421.instance,4,5,3,remove all the agents,1,1,1,3
spliddit\4_5_45421.instance,4,5,3,remove the best agent,1,1,1,3
spliddit\4_5_76442.instance,4,5,3,existence,3,3,3,3
spliddit\4_5_76442.instance,4,5,3,remove all the agents,3,1,1,3
spliddit\4_5_76442.instance,4,5,3,remove the best agent,3,1,1,3
spliddit\4_5_84770.instance,4,5,3,existence,3,3,1,3
spliddit\4_5_84770.instance,4,5,3,remove all the agents,3,1,1,3
spliddit\4_5_84770.instance,4,5,3,remove the best agent,3,1,1,3
spliddit\4_6_102373.instance,4,6,3,existence,3,3,3,3
spliddit\4_6_102373.instance,4,6,3,remove all the agents,1,0,0,3
spliddit\4_6_102373.instance,4,6,3,remove the best agent,2,1,0,3
spliddit\4_6_103204.instance,4,6,3,existence,3,3,3,3
spliddit\4_6_103204.instance,4,6,3,remove all the agents,3,2,1,3
spliddit\4_6_103204.instance,4,6,3,remove the best agent,3,2,1,3
spliddit\4_6_103605.instance,4,6,3,existence,3,3,3,3
spliddit\4_6_103605.instance,4,6,3,remove all the agents,3,3,3,3
spliddit\4_6_103605.instance,4,6,3,remove the best agent,3,3,3,3
